도시수:50
시드:1573115368해집단 크기:20	세대수:1000	교차율:0.8	변이율:0.01
실행시간	0.10초
전체 거리	17.505
29	0.936	0.384
17	0.549	0.288
7	0.425	0.033
30	0.392	0.108
43	0.211	0.011
40	0.026	0.346
45	0.660	0.614
46	0.580	0.677
22	0.637	0.632
31	0.867	0.999
11	0.561	0.753
15	0.173	0.073
21	0.257	0.481
9	0.070	0.639
18	0.215	0.776
4	0.192	0.346
20	0.652	0.477
47	0.463	0.193
8	0.509	0.344
13	0.051	0.456
36	0.167	0.246
35	0.553	0.171
5	0.736	0.146
27	0.399	0.265
28	0.327	0.432
0	0.566	0.589
1	0.859	0.374
23	0.912	0.815
34	0.852	0.635
24	0.760	0.811
26	0.894	0.123
16	0.959	0.044
10	0.879	0.250
14	0.857	0.908
33	0.462	0.909
44	0.366	0.995
12	0.108	0.832
37	0.469	0.931
38	0.106	0.537
19	0.234	0.431
32	0.479	0.604
41	0.313	0.443
42	0.028	0.653
48	0.283	0.048
3	0.276	0.140
2	0.325	0.070
49	0.515	0.735
39	0.965	0.247
25	0.962	0.228
6	0.257	0.167
29	0.936	0.384
